Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2109
Gewässer:;"Tachinger See"
"Rechtswert:  4555780.00";"Hochwert:  5314880.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"TOC [mg/l] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Chloroph [µg/l] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"TOC [mg/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"TOC [mg/l] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"Chloroph [µg/l] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"TOC [mg/l] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"Chloroph [µg/l] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"NO3-N [mg/l] (6.0 m Tiefe)";"SiO2 [mg/l] (6.0 m Tiefe)";"P-ges. [mg/l] (6.0 m Tiefe)";"O2-gelöst [mg/l] (6.0 m Tiefe)";"NH4-N [mg/l] (6.0 m Tiefe)";"pH-Wert (vor Ort) [-] (6.0 m Tiefe)";"o-PO4-P [mg/l] (6.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (6.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (6.0 m Tiefe)";"TOC [mg/l] (6.0 m Tiefe)";"KB 8,2 [mmol/l] (6.0 m Tiefe)";"KS 4,3 [mmol/l] (6.0 m Tiefe)";"Chloroph [µg/l] (6.0 m Tiefe)";"SPAK 254 nm [1/m] (6.0 m Tiefe)";"N-ges. [mg/l] (6.0 m Tiefe)";"P-ges. gelöst [mg/l] (6.0 m Tiefe)";"SO4 [mg/l] (6.0 m Tiefe)";"Chlorid [mg/l] (6.0 m Tiefe)";"NO3-N [mg/l] (8.0 m Tiefe)";"SiO2 [mg/l] (8.0 m Tiefe)";"P-ges. [mg/l] (8.0 m Tiefe)";"O2-gelöst [mg/l] (8.0 m Tiefe)";"NH4-N [mg/l] (8.0 m Tiefe)";"pH-Wert (vor Ort) [-] (8.0 m Tiefe)";"o-PO4-P [mg/l] (8.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (8.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (8.0 m Tiefe)";"TOC [mg/l] (8.0 m Tiefe)";"KB 8,2 [mmol/l] (8.0 m Tiefe)";"KS 4,3 [mmol/l] (8.0 m Tiefe)";"Chloroph [µg/l] (8.0 m Tiefe)";"SPAK 254 nm [1/m] (8.0 m Tiefe)";"N-ges. [mg/l] (8.0 m Tiefe)";"P-ges. gelöst [mg/l] (8.0 m Tiefe)";"SO4 [mg/l] (8.0 m Tiefe)";"Chlorid [mg/l] (8.0 m Tiefe)";"NO3-N [mg/l] (10.0 m Tiefe)";"SiO2 [mg/l] (10.0 m Tiefe)";"P-ges. [mg/l] (10.0 m Tiefe)";"O2-gelöst [mg/l] (10.0 m Tiefe)";"NH4-N [mg/l] (10.0 m Tiefe)";"pH-Wert (vor Ort) [-] (10.0 m Tiefe)";"o-PO4-P [mg/l] (10.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (10.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (10.0 m Tiefe)";"TOC [mg/l] (10.0 m Tiefe)";"KB 8,2 [mmol/l] (10.0 m Tiefe)";"KS 4,3 [mmol/l] (10.0 m Tiefe)";"Chloroph [µg/l] (10.0 m Tiefe)";"SPAK 254 nm [1/m] (10.0 m Tiefe)";"N-ges. [mg/l] (10.0 m Tiefe)";"P-ges. gelöst [mg/l] (10.0 m Tiefe)";"SO4 [mg/l] (10.0 m Tiefe)";"Chlorid [mg/l] (10.0 m Tiefe)";"NO3-N [mg/l] (12.0 m Tiefe)";"SiO2 [mg/l] (12.0 m Tiefe)";"P-ges. [mg/l] (12.0 m Tiefe)";"O2-gelöst [mg/l] (12.0 m Tiefe)";"NH4-N [mg/l] (12.0 m Tiefe)";"pH-Wert (vor Ort) [-] (12.0 m Tiefe)";"o-PO4-P [mg/l] (12.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (12.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (12.0 m Tiefe)";"TOC [mg/l] (12.0 m Tiefe)";"KB 8,2 [mmol/l] (12.0 m Tiefe)";"KS 4,3 [mmol/l] (12.0 m Tiefe)";"Chloroph [µg/l] (12.0 m Tiefe)";"SPAK 254 nm [1/m] (12.0 m Tiefe)";"N-ges. [mg/l] (12.0 m Tiefe)";"P-ges. gelöst [mg/l] (12.0 m Tiefe)";"SO4 [mg/l] (12.0 m Tiefe)";"Chlorid [mg/l] (12.0 m Tiefe)";Prüfstatus
"2004-03-22 00:00:00";;1,3;6,2;0,014;9,7;0,18;8,00;0;5,00;450,00;;;;;;;;;;1,2;5,5;0,012;12,8;0,07;320,00;8,1;0;7,00;7,00;430,00;;;;;;;;;1,2;5,5;0,011;12,4;0,07;8,2;0;7,00;430,00;;;;;;;;;;1,3;5,2;0,011;12,5;0,07;8,2;0;7,00;430,00;;;;;;;;;;1,3;4,7;0,011;12,4;0,07;8,2;0;7,00;430,00;;;;;;;;;;1,4;4,7;0,014;12,3;0,08;8,2;0;6,8;430,00;;;;;;;;;;1,2;5,3;0,013;12,00;0,1;8,1;0;5,8;440,00;;;;;;;;;;1,3;5,6;0,016;11,7;0,11;8,1;0;5,5;440,00;;;;;;;;;;Geprueft
"2004-05-11 00:00:00";;1,00;7,00;0,015;3,9;0,42;7,7;0;6,6;450,00;;;;;;;;;;1,5;2,5;0,009;10,6;0;200,00;8,00;0;5,00;13,8;420,00;;;;;;;;;1,5;2,9;0,011;11,00;0;8,00;0;13,4;420,00;;;;;;;;;;1,6;3,00;0,01;11,00;0;8,00;0;13,1;420,00;;;;;;;;;;1,6;3,2;0,012;11,6;0;8,00;0;12,00;430,00;;;;;;;;;;1,3;3,7;0,014;9,3;0,1;7,9;0;8,3;440,00;;;;;;;;;;0,8;6,1;0,014;6,00;0,27;7,7;0;7,1;440,00;;;;;;;;;;0,7;6,5;0,014;5,2;0,32;7,7;0;6,8;440,00;;;;;;;;;;Geprueft
"2004-06-28 00:00:00";;0,2;8,5;0,025;0,4;0,68;7,4;0;7,3;460,00;;;;;;;;;;1,3;2,8;0,009;9,2;0;310,00;8,2;0;9,00;19,9;370,00;;;;;;;;;1,3;2,8;0,01;8,9;0;8,2;0;19,9;370,00;;;;;;;;;;1,2;2,8;0,01;10,2;0;8,2;0;19,3;370,00;;;;;;;;;;1,4;3,4;0,016;10,7;0;8,00;0;16,4;410,00;;;;;;;;;;1,1;5,8;0,02;6,9;0,03;7,8;0;10,7;430,00;;;;;;;;;;0,8;7,8;0,02;4,8;0,19;7,6;0;9,1;440,00;;;;;;;;;;0,5;9,1;0,026;0;0,46;7,4;0;7,9;450,00;;;;;;;;;;Geprueft
"2004-08-04 00:00:00";;0;11,4;0,044;0;1,3;7,3;0;7,4;460,00;;;;;;;;;;1,1;2,5;0,005;10,5;0;410,00;8,1;0;8,00;23,4;350,00;;;;;;;;;1,2;2,8;0,005;10,5;0;8,1;0;23,3;350,00;;;;;;;;;;1,1;2,6;0,008;14,4;0;8,1;0;21,6;360,00;;;;;;;;;;1,2;3,9;0,011;14,7;0;8,00;0;17,4;390,00;;;;;;;;;;0,5;8,00;0,022;5,1;0,12;7,6;0;12,7;430,00;;;;;;;;;;0,09;9,6;0,052;1,6;0,3;7,5;0;9,9;440,00;;;;;;;;;;0;9,7;0,038;0;0,9;7,4;0;8,00;450,00;;;;;;;;;;Geprueft
"2004-09-28 00:00:00";;0;16,00;0,083;0;2,6;7,3;0;8,2;480,00;;;;;;;;;;0,83;4,6;0,019;10,1;0,01;200,00;8,1;0,007;23,00;15,6;350,00;;;;;;;;;0,8;4,6;0,022;10,1;0,01;8,1;0;15,5;350,00;;;;;;;;;;0,8;4,6;0,019;10,1;0,01;8,1;0;15,5;350,00;;;;;;;;;;0,8;4,6;0,019;9,9;0;8,1;0;15,5;350,00;;;;;;;;;;0,6;4,7;0,02;9,7;0,01;8,00;0;15,5;350,00;;;;;;;;;;0,03;12,00;0,056;0,5;0,73;7,8;0;10,6;450,00;;;;;;;;;;0;14,00;0,074;0;1,8;7,4;0;9,3;470,00;;;;;;;;;;Geprueft
"2004-11-29 00:00:00";;0,7;7,00;0,02;8,4;0,44;7,8;0;6,6;400,00;;;;;;;;;;0,62;7,00;0,021;8,1;0,48;410,00;7,8;0;6,00;6,6;400,00;;;;;;;;;0,6;7,00;0,02;8,1;0,48;7,8;0;6,6;400,00;;;;;;;;;;0,6;7,00;0,014;8,00;0,47;7,8;0;6,6;400,00;;;;;;;;;;0,7;7,00;0,017;7,9;0,48;7,8;0;6,6;400,00;;;;;;;;;;0,7;7,1;0,015;8,1;0,46;7,8;0;6,6;400,00;;;;;;;;;;0,5;7,1;0,018;8,2;0,46;7,8;0;6,6;400,00;;;;;;;;;;0,7;7,00;0,018;8,2;0,43;7,8;0;6,6;400,00;;;;;;;;;;Geprueft
"2006-04-19 00:00:00";10,00;1,4;8,5;0,022;7,9;0,25;7,8;0;5,4;470,00;3,2;0,11;4,88;10,00;5,2;1,6;0;14,00;11,00;1,7;6,7;0,018;13,4;0,07;230,00;8,3;0;10,00;10,6;440,00;3,7;0;4,63;5,7;1,5;0;13,00;10,00;1,7;6,7;0,018;13,5;0,08;8,3;0;8,7;440,00;3,7;0;4,66;10,00;5,6;1,5;0;13,00;10,00;1,7;7,00;0,019;13,2;0,1;8,2;0;7,3;450,00;3,4;0;4,7;10,00;5,5;1,5;0;13,00;10,00;1,7;7,2;0,019;12,7;0,11;8,1;0;7,00;450,00;3,4;0;4,72;10,00;5,4;1,5;0;13,00;10,00;1,7;7,3;0,018;11,5;0,13;8,00;0;6,5;460,00;3,7;0;4,75;8,00;5,4;1,6;0;13,00;10,00;1,6;7,7;0,019;10,3;0,17;7,9;0;5,7;460,00;3,3;0;4,81;8,00;5,3;1,5;0;13,00;10,00;1,6;8,2;0,019;8,9;0,21;7,8;0;5,6;470,00;3,1;0,07;4,84;8,00;5,2;1,6;0;14,00;10,00;Geprueft
"2006-05-17 00:00:00";7,00;1,2;9,4;0,02;3,1;0,45;7,6;0;5,8;470,00;3,1;0,17;4,88;4,00;5,6;1,6;0;14,00;10,00;1,8;5,5;0,012;11,1;0,02;220,00;8,00;0;5,00;16,1;420,00;4,2;0;4,32;5,3;1,6;0;13,00;10,00;1,8;5,5;0,012;11,4;0,02;8,00;0;16,00;420,00;3,7;0;4,3;6,00;5,2;1,6;0;13,00;10,00;1,8;5,5;0,021;12,7;0,01;8,00;0;13,8;430,00;3,7;0;4,32;6,00;5,2;1,7;0;13,00;10,00;1,6;6,2;0,02;13,2;0,04;8,00;0;8,5;440,00;4,3;0;4,59;9,00;5,9;1,6;0;13,00;10,00;1,5;7,3;0,02;8,9;0,13;7,8;0;7,1;460,00;3,7;0;4,72;10,00;5,8;1,6;0;14,00;10,00;1,3;8,4;0,018;6,4;0,27;7,7;0;6,2;460,00;3,7;0,1;4,8;6,00;5,7;1,7;0;14,00;10,00;1,2;8,6;0,017;3,7;0,33;7,7;0;5,9;470,00;2,9;0,12;4,83;4,00;5,6;1,7;0;14,00;10,00;Geprueft
"2006-06-12 00:00:00";3,00;0,8;11,00;0,03;0,2;0,62;7,1;0;6,3;400,00;2,8;0,21;4,93;;5,9;1,4;0,005;13,00;10,00;1,9;4,8;0,009;10,7;0,01;203,00;8,3;0;;17,6;420,00;3,4;0;4,33;5,9;1,7;0;13,00;10,00;1,8;4,9;0,009;11,00;0,01;8,3;0;16,4;420,00;3,2;0;4,31;;5,7;1,7;0;13,00;10,00;1,9;4,8;0,017;11,2;0,02;8,2;0;13,9;420,00;3,2;0;4,33;;5,9;1,8;0;13,00;10,00;1,9;5,8;0,022;10,00;0,06;8,00;0;11,8;440,00;3,2;0;4,55;;5,9;1,9;0;13,00;10,00;1,3;8,00;0,014;4,7;0,28;7,7;0;7,5;460,00;2,9;;4,8;;5,9;1,7;0;14,00;10,00;1,00;9,5;0,017;2,3;0,45;7,6;0;6,8;460,00;2,9;0,17;4,87;;5,9;1,6;0;14,00;10,00;0,8;10,00;0,016;1,1;0,55;7,6;0;6,5;470,00;2,8;0,25;4,9;;5,8;1,5;0;14,00;10,00;Geprueft
"2006-07-10 00:00:00";4,00;0,5;11,7;0,023;0;0,66;7,5;0;6,9;470,00;3,2;0,23;4,99;0;6,1;1,3;0;13,00;10,00;1,8;4,6;0,007;9,2;0,03;170,00;8,1;0;4,00;24,2;390,00;3,4;0;3,96;5,3;1,6;0;13,00;10,00;1,8;4,6;0,006;10,00;0,02;8,1;0;24,00;400,00;3,7;0;3,97;4,00;5,3;1,7;0;13,00;10,00;1,9;4,9;0,008;13,6;0,02;8,1;0;19,6;410,00;6,7;0;4,28;3,00;5,9;1,8;0;13,00;10,00;1,8;5,00;0,01;12,8;0,03;8,00;0;13,4;430,00;3,8;0;4,47;4,00;6,00;1,7;0;13,00;10,00;1,2;7,8;0,012;3,6;0,23;7,6;0;8,5;460,00;3,6;0,1;4,76;5,00;6,1;1,5;0;14,00;10,00;0,7;10,9;0,018;0,4;0,52;7,5;0;7,3;460,00;3,6;0,22;4,94;6,00;6,00;1,3;0;14,00;10,00;0,6;11,3;0,02;0;0,6;7,5;0;6,9;470,00;3,7;0,23;4,97;3,00;6,1;1,3;0;14,00;10,00;Geprueft
