Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;Seemitte
Messstellen-Nr.:;2014
Gewässer:;"Kleiner Arbersee"
"Rechtswert:  4581833.00";"Hochwert:  5443890.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"Phaeopig [µg/l] (-7.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"Na gelöst [mg/l] (2.0 m Tiefe)";"K gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"Ca gelöst [mg/l] (2.0 m Tiefe)";"Mg gelöst [mg/l] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"Mn gelöst [mg/l] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"Fe gelöst [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"O2-Sättigungsindex [%] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"Na gelöst [mg/l] (4.0 m Tiefe)";"K gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"Ca gelöst [mg/l] (4.0 m Tiefe)";"Mg gelöst [mg/l] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"Mn gelöst [mg/l] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"Fe gelöst [mg/l] (4.0 m Tiefe)";"NO3-N [mg/l] (6.0 m Tiefe)";"SiO2 [mg/l] (6.0 m Tiefe)";"P-ges. [mg/l] (6.0 m Tiefe)";"O2-gelöst [mg/l] (6.0 m Tiefe)";"NH4-N [mg/l] (6.0 m Tiefe)";"pH-Wert (vor Ort) [-] (6.0 m Tiefe)";"o-PO4-P [mg/l] (6.0 m Tiefe)";"KS 4,3 [mmol/l] (6.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (6.0 m Tiefe)";"O2-Sättigungsindex [%] (6.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (6.0 m Tiefe)";"Na gelöst [mg/l] (6.0 m Tiefe)";"K gelöst [mg/l] (6.0 m Tiefe)";"SO4 [mg/l] (6.0 m Tiefe)";"Chlorid [mg/l] (6.0 m Tiefe)";"Ca gelöst [mg/l] (6.0 m Tiefe)";"Mg gelöst [mg/l] (6.0 m Tiefe)";"KB 8,2 [mmol/l] (6.0 m Tiefe)";"SPAK 254 nm [1/m] (6.0 m Tiefe)";"N-ges. [mg/l] (6.0 m Tiefe)";"Mn gelöst [mg/l] (6.0 m Tiefe)";"P-ges. gelöst [mg/l] (6.0 m Tiefe)";"Fe gelöst [mg/l] (6.0 m Tiefe)";"NO3-N [mg/l] (8.0 m Tiefe)";"O2-gelöst [mg/l] (8.0 m Tiefe)";"NH4-N [mg/l] (8.0 m Tiefe)";"pH-Wert (vor Ort) [-] (8.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (8.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (8.0 m Tiefe)";"Na gelöst [mg/l] (8.0 m Tiefe)";"Ca gelöst [mg/l] (8.0 m Tiefe)";"SiO2 [mg/l] (8.0 m Tiefe)";"P-ges. [mg/l] (8.0 m Tiefe)";"KB 8,2 [mmol/l] (8.0 m Tiefe)";"o-PO4-P [mg/l] (8.0 m Tiefe)";"KS 4,3 [mmol/l] (8.0 m Tiefe)";"SPAK 254 nm [1/m] (8.0 m Tiefe)";"N-ges. [mg/l] (8.0 m Tiefe)";"O2-Sättigungsindex [%] (8.0 m Tiefe)";"K gelöst [mg/l] (8.0 m Tiefe)";"Mn gelöst [mg/l] (8.0 m Tiefe)";"P-ges. gelöst [mg/l] (8.0 m Tiefe)";"Fe gelöst [mg/l] (8.0 m Tiefe)";"SO4 [mg/l] (8.0 m Tiefe)";"Chlorid [mg/l] (8.0 m Tiefe)";"Mg gelöst [mg/l] (8.0 m Tiefe)";Prüfstatus
"2004-05-18 00:00:00";;;0,7;0,3;1,00;0,4;;;;;;;;;;;;;;;;;;;;0,7;3,6;0;10,9;0;440,00;5,00;0;0;9,8;107,00;19,00;0,7;0,2;3,00;0,6;0,9;0,4;;;;;;;0,8;3,5;0,009;11,00;0,06;4,9;0;0;8,2;105,00;22,00;0,8;0,5;3,00;0,7;1,00;0,4;;;;;;;0,8;3,4;0;11,4;0,03;4,8;0;0;6,3;104,00;22,00;0,7;0,3;3,00;0,6;0,9;0,4;;;;;;;0,8;3,5;0,006;10,7;0,07;4,8;0;0;6,00;97,00;21,00;0,7;0,3;3,00;0,7;1,00;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2004-06-24 00:00:00";;;0,6;0,2;1,00;0,4;;;;;;;;;;;;;;;;;;;;0,5;4,3;0,006;9,3;0;440,00;5,4;0,014;0;14,8;102,00;15,00;0,7;0,1;3,00;0,5;1,00;0,4;;;;;;;0,5;4,4;0,009;9,2;0,03;5,3;0,011;0;14,5;101,00;17,00;1,00;0,3;3,00;0,8;1,1;0,4;;;;;;;0,5;4,3;0,007;10,5;0;5,00;;0;10,8;110,00;18,00;0,7;0,2;3,00;0,5;1,00;0,4;;;;;;;0,7;4,4;0,006;8,7;0,05;5,00;0,009;0;7,4;83,00;20,00;0,6;0,2;3,00;0,6;1,00;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2004-08-11 00:00:00";;;0,7;0,4;1,00;0,4;0,6;3,3;0,007;5,1;0,15;4,9;0,006;0,08;9,1;3,00;0,7;;;;;;;;;0,2;3,00;0,007;7,8;0;400,00;6,1;0;0,08;20,2;97,00;13,00;0,7;0,2;3,00;0,5;0,9;0,3;;;;;;;0,3;3,00;0,01;8,00;0,04;5,6;0;0,09;19,2;96,00;15,00;0,9;0,4;3,00;1,00;1,00;0,4;;;;;;;0,3;3,1;0,009;9,6;0,05;5,1;0,007;0,07;13,9;104,00;17,00;0,8;0,3;3,00;0,7;0,9;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2004-10-04 00:00:00";;;0,7;0,3;1,00;0,4;0,1;3,6;0,011;2,4;0,33;5,4;0;0,07;7,00;3,00;0;;;;;;;;;0,3;3,8;0,006;10,2;0,02;340,00;5,00;0;0;9,8;97,00;12,00;0,7;0,2;3,00;0,5;0,8;0,3;;;;;;;0,3;3,7;0,011;9,8;0,08;5,00;0;0;9,4;91,00;12,00;0,9;0,4;3,00;0,8;0,9;0,4;;;;;;;0,3;3,8;0,008;9,7;0,04;4,9;0;0;9,00;89,00;13,00;0,8;0,3;3,00;0,6;0,9;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2005-06-14 00:00:00";;;0,8;0,3;1,00;0,4;0,61;;;;;;;;;2,8;0,6;;;;;;;;;0,5;3,4;0,008;9,5;0;500,00;5,3;0,007;0,05;14,4;;15,00;0,9;0,2;3,00;0,5;1,00;0,4;;;;;;;0,5;3,4;0,042;9,6;0,06;5,3;0,026;0,05;12,4;;16,00;1,2;0,5;3,00;0,9;1,00;0,4;;;;;;;0,5;3,2;0,023;10,3;0,04;5,00;0,008;0;9,6;;17,00;1,00;0,4;3,00;0,7;1,00;0,4;;;;;;;0,6;3,2;0,018;9,3;0,03;4,9;0,005;0;7,1;;18,00;0,8;0,3;3,00;0,6;1,00;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2005-07-13 00:00:00";;;0,7;0,3;0,8;0,4;0,5;1,00;0,007;6,1;0;5,2;0;0;7,2;3,00;0,8;;;;;;;;;0,3;3,3;0,008;8,7;0;320,00;5,1;0;0;16,4;;14,00;0,8;0,3;3,00;0,7;0,9;0,4;;;;;;;0,3;3,5;0,01;9,2;0,06;5,1;0;0;20,00;;19,00;0,9;0,3;3,00;0,9;0,9;0,3;;;;;;;0,4;3,2;0,008;9,9;0,03;5,00;0;0;11,2;;17,00;0,8;0,3;3,00;0,9;1,00;0,3;;;;;;;0,6;3,3;0,006;8,2;0,13;4,9;0;0;8,2;;18,00;0,7;0,3;3,00;0,8;1,00;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2005-08-23 00:00:00";;;0,7;0,3;0,9;0,3;0,4;3,00;0,013;5,00;0,12;5,00;0;0;8,3;3,00;0,7;;;;;;;;;0,2;3,2;0,013;8,8;0;92,00;5,6;0;0;14,5;;15,00;0,8;0,2;3,00;0,6;0,9;0,3;;;;;;;0,3;3,7;0,015;8,6;0,11;5,00;0,007;0;13,1;;19,00;1,00;0,8;3,00;1,00;1,00;0,4;;;;;;;0,3;3,4;0,014;7,7;0,06;5,00;0;0;11,6;;17,00;0,8;0,4;3,00;0,9;0,9;0,3;;;;;;;0,4;3,5;0,014;6,00;0,09;5,1;0,006;0;9,3;;17,00;0,7;0,3;3,00;0,8;0,9;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2005-09-28 00:00:00";;;0,7;0,3;1,00;0,3;0,1;3,2;0,014;1,8;0,32;5,4;0,006;0,08;8,00;3,00;0,5;;;;;;;;;0,3;3,8;0,011;8,9;0;360,00;5,3;0,006;0;12,2;;15,00;0,8;0,2;3,00;0,5;0,9;0,3;;;;;;;0,2;3,8;0,013;8,8;0,04;5,2;0;0;12,1;;15,00;0,7;0,3;3,00;0,7;0,9;0,3;;;;;;;0,3;3,9;0,01;7,9;0,04;5,1;0;0;10,8;;16,00;0,8;0,4;3,00;0,6;0,9;0,3;;;;;;;0,3;3,00;0,01;3,3;0,14;5,1;0;0,05;9,00;;16,00;0,8;0,4;3,00;0,5;1,00;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2006-05-23 00:00:00";;;0,7;0,2;0,9;0,3;0,7;;;;;;;;;2,8;0,6;;;;;;;;;0,8;;;;;;;;;;;;0,6;0,2;2,6;0,5;0,8;0,3;;;;;;;0,8;;;;;;;;;;;0,7;0,4;2,7;0,7;1,00;0,3;;;;;;;0,7;;;;;;;;;;;0,6;0,2;2,6;0,5;0,9;0,3;;;;;;;0,7;;;;;;;;;;;0,6;0,2;2,7;0,6;0,9;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2006-06-27 00:00:00";;;0,6;0,3;0,9;0,3;0,5;;;;;;;;;2,8;0,8;;;;;;;;;0,4;;;;;;;;;;;;0,8;0,2;3,1;0,7;0,9;0,3;;;;;;;0,5;;;;;;;;;;;0,8;0,7;2,9;1,2;0,9;0,3;;;;;;;0,5;;;;;;;;;;;0,6;0,3;2,8;0,7;0,9;0,3;;;;;;;0,5;;;;;;;;;;;0,6;0,3;2,8;0,7;0,9;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2006-08-16 00:00:00";;;0,7;0,3;0,9;0,3;0,3;;;;;;;;;2,5;0,9;;;;;;;;;0,3;;;;;;;;;;;;0,7;0,4;2,5;1,00;0,8;0,3;;;;;;;0,3;;;;;;;;;;;0,8;0,3;2,6;0,9;0,9;0,3;;;;;;;0,4;;;;;;;;;;;0,6;0,3;2,4;0,8;0,8;0,3;;;;;;;0,4;;;;;;;;;;;0,7;0,3;2,6;1,00;0,9;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2006-09-26 00:00:00";;;0,7;0,3;0,9;0,3;0;;;;;;;;;2,4;0,6;;;;;;;;;0,3;;;;;;;;;;;;0,9;0,2;2,7;0,5;0,9;0,3;;;;;;;0,3;;;;;;;;;;;1,00;0,6;2,7;1,00;1,00;0,3;;;;;;;0,3;;;;;;;;;;;0,7;0,3;2,7;0,7;0,8;0,3;;;;;;;0,2;;;;;;;;;;;0,7;0,3;2,4;0,8;0,8;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
