Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"vor Staumauer, tiefste Stelle"
Messstellen-Nr.:;110532
Gewässer:;Drachensee
"Rechtswert:  4563199.00";"Hochwert:  5464841.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"Phaeopig [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"TOC [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"Sichttiefe [cm] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"TOC [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"TOC [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"Na gelöst [mg/l] (2.0 m Tiefe)";"K gelöst [mg/l] (2.0 m Tiefe)";"Mn gelöst [mg/l] (2.0 m Tiefe)";"Fe gelöst [mg/l] (2.0 m Tiefe)";"Ca gelöst [mg/l] (2.0 m Tiefe)";"Mg gelöst [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (3.0 m Tiefe)";"TOC [mg/l] (3.0 m Tiefe)";"SiO2 [mg/l] (3.0 m Tiefe)";"P-ges. [mg/l] (3.0 m Tiefe)";"O2-gelöst [mg/l] (3.0 m Tiefe)";"KB 8,2 [mmol/l] (3.0 m Tiefe)";"NH4-N [mg/l] (3.0 m Tiefe)";"pH-Wert (vor Ort) [-] (3.0 m Tiefe)";"o-PO4-P [mg/l] (3.0 m Tiefe)";"KS 4,3 [mmol/l] (3.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (3.0 m Tiefe)";"SPAK 254 nm [1/m] (3.0 m Tiefe)";"N-ges. [mg/l] (3.0 m Tiefe)";"O2-Sättigungsindex [%] (3.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (3.0 m Tiefe)";"SO4 [mg/l] (3.0 m Tiefe)";"Chlorid [mg/l] (3.0 m Tiefe)";"P-ges. gelöst [mg/l] (3.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"TOC [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"O2-Sättigungsindex [%] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"Na gelöst [mg/l] (4.0 m Tiefe)";"K gelöst [mg/l] (4.0 m Tiefe)";"Mn gelöst [mg/l] (4.0 m Tiefe)";"Fe gelöst [mg/l] (4.0 m Tiefe)";"Ca gelöst [mg/l] (4.0 m Tiefe)";"Mg gelöst [mg/l] (4.0 m Tiefe)";Prüfstatus
"2007-07-09 11:15:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;1,4;10,00;0,13;10,6;0,04;7,8;0,017;18,00;118,00;188,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-07-24 12:20:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;2,00;10,00;0,19;3,1;0,15;6,9;0,11;21,8;37,00;184,00;3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-08-06 12:20:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;9,5;0,078;9,9;0,07;7,8;0,017;23,8;122,00;199,00;11,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-08-20 11:20:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;7,00;0,071;4,5;0,14;7,1;0,033;19,9;51,00;224,00;7,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-09-05 11:30:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;6,1;0,059;3,9;0,2;7,1;0,022;16,00;41,00;233,00;5,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-09-19 12:45:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;1,7;5,6;0,082;5,8;0,08;7,5;0,037;15,5;62,00;223,00;5,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2007-10-01 12:10:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;2,00;9,5;0,15;7,9;0,08;7,4;0,045;13,6;77,00;179,00;7,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2010-03-30 10:50:00";4,00;;2,5;7,9;19,00;0,11;2,4;0,55;0,55;90,00;6,4;0;1,1;6,8;13,00;3,1;21,00;309,00;0,012;17,00;41,00;;;;;;;3,3;6,3;0,066;9,1;0,07;7,1;0,011;8,4;84,00;186,00;;15,00;0,12;0,63;15,00;3,4;0,029;16,00;17,00;;;;;;;;3,2;7,6;15,00;0,071;9,2;0,12;0,12;7,1;0,01;0,63;8,4;16,00;3,6;84,00;187,00;0,02;16,00;17,00;;;;;;;;;;;;;;;;;;;;;;;;;3,2;7,3;15,00;0,07;9,2;0,12;0,13;7,00;0,011;0,63;8,4;15,00;3,6;83,00;187,00;0,022;16,00;17,00;;;;;;;Geprueft
"2010-04-13 09:50:00";23,00;;2,5;6,1;16,00;0,046;7,7;0,12;0,06;;6,9;0;0,76;8,7;12,00;2,8;71,00;177,00;;17,00;17,00;;;;;;;2,6;5,7;0,05;9,5;0,02;7,4;0,005;9,1;88,00;199,00;;16,00;0,06;0,74;12,00;3,2;;17,00;17,00;130,00;;;;;;;2,5;6,6;16,00;0,045;9,5;0,07;0,05;7,3;0;0,74;9,00;12,00;3,1;89,00;195,00;;17,00;18,00;;;;;;;;;;;;;;;;;;;;;;;;;2,6;6,2;16,00;0,048;6,7;0,1;0,04;7,00;0;0,75;8,8;12,00;3,00;63,00;177,00;;17,00;17,00;;;;;;;Geprueft
"2010-05-11 00:00:00";4,00;;2,1;5,8;20,00;0,039;5,3;0,15;0,14;;7,00;0,015;1,08;11,8;12,00;2,5;54,00;208,00;;19,00;18,00;;;;;;;2,00;5,7;0,029;8,1;0,08;7,5;0,007;14,1;82,00;204,00;;17,00;0,08;1,07;11,00;2,5;;19,00;16,00;360,00;;;;;;;2,00;6,6;17,00;0,033;7,4;0,08;0,09;7,5;0;1,08;14,1;11,00;2,5;76,00;206,00;;19,00;19,00;;;;;;;;;;;;;;;;;;;;;;;;;2,1;5,6;18,00;0,035;6,4;0,11;0,12;7,2;0,013;1,08;12,4;12,00;2,5;67,00;207,00;;19,00;18,00;;;;;;;Geprueft
"2010-06-09 00:00:00";8,00;;3,1;13,00;15,00;0,1;5,9;0,22;0,17;;6,6;0,055;1,04;14,4;36,00;3,5;62,00;186,00;;15,00;12,00;;;;;;;2,9;10,00;0,058;14,00;0,03;8,1;0;23,2;172,00;182,00;;15,00;0;1,00;28,00;3,4;;15,00;12,00;150,00;;;;;;;3,2;14,00;16,00;0,082;9,7;0,11;0,13;7,2;0,019;0,99;19,00;31,00;3,8;112,00;183,00;;15,00;12,00;;;;;;;;;;;;;;;;;;;;;;;;;3,2;14,00;14,00;0,13;8,00;0,19;0,16;6,7;0,043;0,97;15,2;41,00;3,9;86,00;170,00;;13,00;10,00;;;;;;;Geprueft
"2010-07-06 00:00:00";15,00;;1,00;10,00;18,00;0,054;2,6;0,32;0,4;;6,6;0;1,32;16,1;25,9;2,2;28,00;198,00;;15,00;12,00;;;;;;;1,1;12,00;0,11;14,7;0,07;9,3;0;24,5;183,00;201,00;;19,00;;1,28;17,8;2,3;;18,00;15,00;90,00;;;;;;;1,4;11,00;21,00;0,096;5,00;0,15;0,15;7,1;0;1,35;21,3;14,9;2,6;58,00;217,00;;20,00;15,00;;;;;;;1,3;8,4;20,00;0,045;3,00;0,28;0,08;6,8;0;1,32;18,9;16,1;2,3;34,00;223,00;18,00;14,00;;1,4;9,4;19,00;0,048;3,3;0,24;0,09;6,7;0;1,24;17,2;19,7;2,4;36,00;202,00;;17,00;15,00;;;;;;;Geprueft
"2010-08-03 11:00:00";47,00;;0;12,00;20,00;0,25;2,8;0,57;1,4;;6,8;0,09;1,97;16,00;33,00;2,6;30,00;251,00;0,059;7,8;15,00;;;;;;;0,3;11,00;0,11;12,00;0,05;9,4;0,009;20,5;139,00;206,00;;21,00;;1,42;18,00;2,00;0,033;18,00;16,00;70,00;;;;;;;0,6;9,5;21,00;0,1;3,5;0,11;0,17;7,3;0;1,42;18,5;18,00;2,1;40,00;216,00;0,018;18,00;16,00;;;;;;;0,6;12,00;21,00;0,084;2,5;0,18;0,3;7,00;0;1,43;18,1;18,00;2,1;27,00;217,00;18,00;16,00;0,016;0,5;11,00;21,00;0,092;2,8;0,2;0,35;6,9;0;1,53;18,2;18,00;1,9;32,00;221,00;0,016;17,00;16,00;;;;;;;Geprueft
