Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2006
Gewässer:;"Hofstaetter See"
"Rechtswert:  4513204.00";"Hochwert:  5307106.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-7.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"Sichttiefe [cm] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"Na gelöst [mg/l] (2.0 m Tiefe)";"Mg gelöst [mg/l] (2.0 m Tiefe)";"Ca gelöst [mg/l] (2.0 m Tiefe)";"Fe gelöst [mg/l] (2.0 m Tiefe)";"Mn gelöst [mg/l] (2.0 m Tiefe)";"K gelöst [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";Prüfstatus
"2008-02-11 00:00:00";;;;;;;;;;;;;;;;;;;;;;;;0,1;0,015;0,23;270,00;7,5;0;5,7;0,9;114,00;0,006;0,2;13,3;;;;;;;;;;;0,2;11,00;0,24;270,00;7,3;0;5,3;0,8;116,00;0,007;0,047;0,1;;;;;;;;;;;Geprueft
"2008-02-12 00:00:00";5,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2008-03-05 00:00:00";5,00;;7,7;;;;;;;;;;;;;;;;;;;;;;0,019;0,18;230,00;;0;8,2;1,00;112,00;0,011;0,2;11,7;5,00;;;;;;;;;;0,2;7,3;0,2;;;0;7,9;1,00;116,00;0,006;0,027;0,1;5,00;;;;;;;;;;Geprueft
"2008-04-21 00:00:00";13,00;8,3;8,3;;;;;;;;;;;;;;;;;;;;;0,1;0,022;0,04;190,00;8,4;0;13,1;0,7;112,00;0,007;0;10,2;4,5;;;;;;;;;;0;9,6;0,04;;8,3;0;12,6;0,7;114,00;0,008;0,022;0,1;4,5;;;;;;;;;;Geprueft
"2008-05-19 00:00:00";13,00;8,6;;;;;;;;;;;;;;;;;;;;;;0;0,04;0,04;120,00;8,7;0;19,2;0,6;111,00;0,011;0;9,4;4,5;;;;;;;;;;0;7,9;0,06;;8,6;0;19,7;0,6;113,00;0,021;0,034;0;4,3;;;;;;;;;;Geprueft
"2008-07-02 00:00:00";18,9;7,5;;;;;;;;;;;;;;;;;;;;;;0;0,071;0,06;;7,5;0;25,4;1,7;126,00;0,009;0,6;6,1;4,8;;;;;;;;;;0,7;4,4;0,06;130,00;7,4;0;25,3;1,9;126,00;0,015;0,159;0;4,7;;;;;;;;;;Geprueft
"2008-08-25 00:00:00";11,2;8,5;;;;;;;;;;;;;;;;;;;;;;0,02;0,023;0;110,00;8,3;0;13,9;1,00;113,00;0,01;0,4;10,7;4,00;;;;;;;;;;0,3;10,2;0;;8,5;0;13,8;0,7;113,00;0,013;0,021;0,02;4,00;;;;;;;;;;Geprueft
"2008-09-30 00:00:00";8,00;;;;;;;;;;;;;;;;;;;;;;;0,02;0,023;0;110,00;8,3;0;13,9;0,6;113,00;0,01;0,4;10,7;4,00;;;;;;;;;;0,3;10,2;0;;8,5;0;13,8;0,6;113,00;0,013;0,021;0,02;4,00;;;;;;;;;;Geprueft
"2008-10-16 00:00:00";6,3;;;;;;;;;;;;;;;;;;;;;;;0,02;0,021;0;130,00;8,3;0;15,7;0,8;99,00;;0,3;9,9;5,00;;;;;;;;;;0,3;9,8;0;;8,3;0;15,4;0,8;102,00;;0,092;0,02;4,00;;;;;;;;;;Geprueft
"2008-11-18 00:00:00";14,6;;;;;;;;;;;;;;;;;;;;;;;0,02;0,02;0;150,00;7,9;0,005;7,4;0,7;101,00;0,019;0,1;10,9;4,00;;;;;;;;;;0,1;11,00;0;;7,8;0;7,4;0,7;103,00;0,011;0,028;0,02;4,00;;;;;;;;;;Geprueft
"2011-04-06 00:00:00";;;8,3;12,7;0,07;0,6;101,00;0,01;4,1;0,2;0;11,3;0,025;0,2;;;;;;;;;;0,2;0,02;0,06;110,00;8,1;0;12,9;0,6;102,00;0,009;0,3;11,1;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2011-05-18 00:00:00";;;7,5;16,7;0,07;0,5;93,00;0;4,3;0,1;0;9,1;0,079;0;;;;;;;;;;0;0;0,02;160,00;7,3;0;16,9;0,5;93,00;0;0,2;9,4;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
"2011-07-06 00:00:00";13,6;9,00;9,00;21,7;0,01;1,2;107,00;0,015;4,00;0,7;0,007;10,00;0,039;0,03;;;;;;;;;;0,05;0,028;0,01;90,00;9,00;0,007;22,3;1,2;109,00;0,014;0,7;10,1;3,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
