Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2053
Gewässer:;Pilsensee
"Rechtswert:  4440000.00";"Hochwert:  5321320.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"Chloroph [µg/l] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"Chloroph [µg/l] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"O2-Sättigungsindex [%] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"Chloroph [µg/l] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"NO3-N [mg/l] (6.0 m Tiefe)";"SiO2 [mg/l] (6.0 m Tiefe)";"P-ges. [mg/l] (6.0 m Tiefe)";"O2-gelöst [mg/l] (6.0 m Tiefe)";"NH4-N [mg/l] (6.0 m Tiefe)";"pH-Wert (vor Ort) [-] (6.0 m Tiefe)";"o-PO4-P [mg/l] (6.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (6.0 m Tiefe)";"O2-Sättigungsindex [%] (6.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (6.0 m Tiefe)";"Chloroph [µg/l] (6.0 m Tiefe)";"SPAK 254 nm [1/m] (6.0 m Tiefe)";"N-ges. [mg/l] (6.0 m Tiefe)";"P-ges. gelöst [mg/l] (6.0 m Tiefe)";"SO4 [mg/l] (6.0 m Tiefe)";"Chlorid [mg/l] (6.0 m Tiefe)";"NO3-N [mg/l] (8.0 m Tiefe)";"SiO2 [mg/l] (8.0 m Tiefe)";"P-ges. [mg/l] (8.0 m Tiefe)";"O2-gelöst [mg/l] (8.0 m Tiefe)";"NH4-N [mg/l] (8.0 m Tiefe)";"pH-Wert (vor Ort) [-] (8.0 m Tiefe)";"o-PO4-P [mg/l] (8.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (8.0 m Tiefe)";"O2-Sättigungsindex [%] (8.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (8.0 m Tiefe)";"Chloroph [µg/l] (8.0 m Tiefe)";"SPAK 254 nm [1/m] (8.0 m Tiefe)";"N-ges. [mg/l] (8.0 m Tiefe)";"P-ges. gelöst [mg/l] (8.0 m Tiefe)";"SO4 [mg/l] (8.0 m Tiefe)";"Chlorid [mg/l] (8.0 m Tiefe)";"NO3-N [mg/l] (10.0 m Tiefe)";"SiO2 [mg/l] (10.0 m Tiefe)";"P-ges. [mg/l] (10.0 m Tiefe)";"O2-gelöst [mg/l] (10.0 m Tiefe)";"NH4-N [mg/l] (10.0 m Tiefe)";"pH-Wert (vor Ort) [-] (10.0 m Tiefe)";"o-PO4-P [mg/l] (10.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (10.0 m Tiefe)";"O2-Sättigungsindex [%] (10.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (10.0 m Tiefe)";"Chloroph [µg/l] (10.0 m Tiefe)";"SPAK 254 nm [1/m] (10.0 m Tiefe)";"N-ges. [mg/l] (10.0 m Tiefe)";"P-ges. gelöst [mg/l] (10.0 m Tiefe)";"SO4 [mg/l] (10.0 m Tiefe)";"Chlorid [mg/l] (10.0 m Tiefe)";"NO3-N [mg/l] (12.0 m Tiefe)";"SiO2 [mg/l] (12.0 m Tiefe)";"P-ges. [mg/l] (12.0 m Tiefe)";"O2-gelöst [mg/l] (12.0 m Tiefe)";"NH4-N [mg/l] (12.0 m Tiefe)";"pH-Wert (vor Ort) [-] (12.0 m Tiefe)";"o-PO4-P [mg/l] (12.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (12.0 m Tiefe)";"O2-Sättigungsindex [%] (12.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (12.0 m Tiefe)";"Chloroph [µg/l] (12.0 m Tiefe)";"SPAK 254 nm [1/m] (12.0 m Tiefe)";"N-ges. [mg/l] (12.0 m Tiefe)";"P-ges. gelöst [mg/l] (12.0 m Tiefe)";"SO4 [mg/l] (12.0 m Tiefe)";"Chlorid [mg/l] (12.0 m Tiefe)";Prüfstatus
"2004-05-25 00:00:00";8,00;1,2;3,2;0,023;0,6;0,59;7,5;0;6,00;5,00;454,00;;;;;;;2,00;0;0,006;9,1;0,02;510,00;8,3;0;15,8;98,00;414,00;;;;;;;1,9;0;0,006;9,1;0,02;8,3;0;15,00;97,00;414,00;;;;;;;2,00;0;0,007;8,9;0,02;8,2;0;14,4;92,00;414,00;;;;;;;2,00;0;0,012;11,4;0;8,2;0;11,7;112,00;417,00;;;;;;;1,9;0;0,012;13,5;0;8,3;0;9,4;126,00;417,00;;;;;;;1,8;0,5;0,018;12,9;0;8,2;0;7,3;115,00;427,00;;;;;;;1,7;1,4;0,022;6,7;0,18;7,8;0;6,4;58,00;447,00;;;;;;;Geprueft
"2004-07-27 00:00:00";5,00;0,2;5,6;0,039;0,2;1,4;7,2;0,006;6,5;2,00;460,00;;;;;;;1,7;0,8;0,007;9,6;0,04;260,00;8,1;0;21,5;116,00;370,00;;;;;;;1,7;0,7;0,007;8,8;0,04;8,1;0;21,5;107,00;369,00;;;;;;;1,8;0,8;0,008;10,6;0,03;8,00;0;20,4;125,00;384,00;;;;;;;1,8;0,7;0,008;10,4;0,02;7,9;0;17,8;119,00;384,00;;;;;;;1,8;0,8;0,011;13,8;0,01;8,00;0;13,8;143,00;409,00;;;;;;;1,5;0,8;0,019;13,9;0,03;7,9;0;8,9;128,00;415,00;;;;;;;0,8;2,8;0,02;0,4;0,49;7,3;0;7,3;3,00;445,00;;;;;;;Geprueft
"2004-10-06 00:00:00";2,00;0,05;7,2;0,032;0,2;1,9;7,2;0,003;6,9;1,00;493,00;;;;;;;1,5;1,1;0,009;8,3;0,05;370,00;8,3;0;15,7;89,00;372,00;;;;;;;1,4;1,00;0,007;8,4;0,05;8,3;0;15,1;89,00;372,00;;;;;;;1,4;1,00;0,007;8,4;0,04;8,3;0;14,00;89,00;372,00;;;;;;;1,4;1,00;0,005;8,1;0,04;8,3;0;14,5;85,00;373,00;;;;;;;1,4;1,1;0,015;7,7;0,05;8,2;0;14,3;81,00;374,00;;;;;;;1,4;1,5;0,012;5,7;0,09;7,8;0;13,1;58,00;397,00;;;;;;;0,5;4,1;0,019;0,4;0,74;7,4;0;7,9;3,00;462,00;;;;;;;Geprueft
"2004-11-25 00:00:00";2,00;1,2;3,2;0,017;8,6;0,42;7,8;0;6,4;74,00;402,00;;;;;;;1,2;2,1;0,016;9,2;0,42;260,00;7,8;0,003;6,5;79,00;401,00;;;;;;;1,2;2,1;0,016;8,9;0,42;7,8;0;6,5;77,00;401,00;;;;;;;1,2;2,1;0,016;8,9;0,42;7,8;0;6,5;76,00;402,00;;;;;;;1,2;2,1;0,016;8,8;0,42;7,8;0;6,5;75,00;402,00;;;;;;;1,2;2,1;0,016;8,7;0,42;7,8;0;6,5;75,00;402,00;;;;;;;1,2;2,1;0,016;8,7;0,42;7,8;0;6,5;75,00;402,00;;;;;;;1,2;2,1;0,017;8,7;0,42;7,8;0;6,5;74,00;402,00;;;;;;;Geprueft
"2005-04-13 00:00:00";10,00;1,8;3,3;0,017;6,2;0,46;7,5;0;3,6;50,00;476,00;;;;;;;1,5;0,8;0,009;11,1;0,16;190,00;8,2;0;8,4;102,00;412,00;;;;;;;1,5;0,8;0,011;10,6;0,16;8,2;0;8,1;97,00;413,00;;;;;;;1,5;0,8;0,01;10,00;0,16;8,2;0;8,1;91,00;413,00;;;;;;;1,5;0,8;0,01;10,7;0,16;8,1;0;6,5;94,00;423,00;;;;;;;1,3;1,5;0,012;9,9;0,23;7,9;0;4,7;83,00;433,00;;;;;;;1,6;2,3;0,016;8,00;0,3;7,7;0;4,00;67,00;454,00;;;;;;;1,5;2,2;0,015;7,1;0,3;7,6;0;3,8;58,00;464,00;;;;;;;Geprueft
"2005-05-18 00:00:00";3,00;1,3;4,1;0,018;3,4;0,63;7,5;0;4,00;28,00;453,00;;;;;;;1,8;0;0,006;10,00;0,06;440,00;8,3;0;13,1;102,00;406,00;;;;;;;1,8;0;0,006;9,8;0,06;8,3;0;13,1;99,00;406,00;;;;;;;1,8;0;0,006;9,8;0,06;8,3;0;12,9;99,00;408,00;;;;;;;1,9;0;0,007;10,00;0,06;8,3;0;12,7;100,00;412,00;;;;;;;1,9;0;0,015;11,4;0,07;8,2;0;9,5;104,00;420,00;;;;;;;1,6;2,2;0,023;10,4;0,28;7,8;0;5,00;84,00;434,00;;;;;;;1,4;3,5;0,021;6,6;0,47;7,6;0;4,7;63,00;448,00;;;;;;;Geprueft
"2005-06-15 00:00:00";1,00;0,7;5,5;0,039;1,8;0,87;7,2;0;4,4;13,00;460,00;;;;;;;1,8;0,5;0,004;9,2;0,04;260,00;8,2;0;17,8;104,00;391,00;;;;;;;1,8;0,5;0,004;9,2;0,04;8,2;0;17,8;103,00;391,00;;;;;;;1,9;0,5;0,005;9,2;0,04;8,2;0;17,6;103,00;392,00;;;;;;;1,8;0,5;0,006;10,5;0,04;8,1;0;14,00;110,00;408,00;;;;;;;1,7;0,7;0,008;9,5;0,09;8,1;0;9,3;91,00;420,00;;;;;;;1,5;1,6;0,007;9,5;0,2;7,7;0;5,5;77,00;443,00;;;;;;;0,9;4,4;0,027;5,9;0,58;7,3;0;4,7;44,00;453,00;;;;;;;Geprueft
"2005-08-09 00:00:00";;1,1;3,7;0,016;0,4;0,54;7,00;0;5,00;3,00;467,00;;;;;;;1,7;0,8;0,009;8,6;0,01;110,00;7,9;0;19,6;102,00;360,00;;;;;;;1,7;0,9;0,008;8,6;0,02;7,9;0;19,3;100,00;361,00;;;;;;;1,7;0,9;0,009;8,4;0,01;8,00;0;19,2;98,00;364,00;;;;;;;1,8;0,9;0,007;8,2;0,02;8,00;0;19,00;95,00;365,00;;;;;;;1,7;1,00;0,016;8,2;0,12;7,5;0;10,5;77,00;426,00;;;;;;;1,3;2,2;0,01;4,1;0,32;7,3;0;6,7;35,00;445,00;;;;;;;1,3;2,2;0,016;0,7;0,31;7,1;0;5,7;5,00;457,00;;;;;;;Geprueft
"2005-09-27 00:00:00";1,00;0,09;7,4;0,056;0;1,8;7,2;0,024;5,6;0;466,00;;;;;;;1,7;0,5;0,011;8,8;0,02;260,00;8,3;0;17,2;98,00;366,00;;;;;;;1,7;0,6;0,007;8,7;0,02;8,3;0;17,2;96,00;366,00;;;;;;;1,6;0,5;0,009;8,9;0,02;8,3;0;16,7;98,00;368,00;;;;;;;1,7;0,5;0,01;8,3;0,01;8,3;0;16,4;90,00;370,00;;;;;;;1,7;1,00;0,008;6,1;0,03;7,8;0;14,6;65,00;403,00;;;;;;;1,1;3,3;0,022;0,3;0,43;7,4;0;8,1;3,00;442,00;;;;;;;0,9;3,2;0,011;0,2;0,84;7,2;0;6,2;2,00;456,00;;;;;;;Geprueft
"2005-11-15 00:00:00";5,00;0;9,8;0,026;0;2,3;6,9;0;5,6;0;521,00;;;;;;;1,6;1,1;0,01;8,8;0,07;410,00;8,00;0;10,2;83,00;400,00;;;;;;;1,6;1,1;0,009;8,9;0,07;8,00;0;10,1;84,00;400,00;;;;;;;1,6;1,1;0,011;8,7;0,07;7,9;0;10,1;82,00;400,00;;;;;;;1,6;1,1;0,011;8,4;0,07;7,9;0;10,1;81,00;400,00;;;;;;;1,6;1,1;0,01;8,8;0,08;7,9;0;10,1;83,00;400,00;;;;;;;1,6;1,2;0,017;6,9;0,08;7,7;0;10,00;69,00;407,00;;;;;;;0,4;6,1;0,021;0,2;1,2;7,00;0;6,5;2,00;484,00;;;;;;;Geprueft
