Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2129
Gewässer:;Weitsee
"Rechtswert:  4542772.00";"Hochwert:  5283153.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-7.0 m ü. Grund)";"KS 4,3 [mmol/l] (-7.0 m ü. Grund)";"Zn gelöst [mg/l] (-7.0 m ü. Grund)";"Sn gelöst [mg/l] (-7.0 m ü. Grund)";"Pb gelöst [mg/l] (-7.0 m ü. Grund)";"As gelöst [mg/l] (-7.0 m ü. Grund)";"Cd gelöst [mg/l] (-7.0 m ü. Grund)";"Na gelöst [mg/l] (-7.0 m ü. Grund)";"K gelöst [mg/l] (-7.0 m ü. Grund)";"Be gelöst [mg/l] (-7.0 m ü. Grund)";"Sr gelöst [mg/l] (-7.0 m ü. Grund)";"Ti gelöst [mg/l] (-7.0 m ü. Grund)";"V gelöst [mg/l] (-7.0 m ü. Grund)";"W gelöst [mg/l] (-7.0 m ü. Grund)";"Ag gelöst [mg/l] (-7.0 m ü. Grund)";"Mn gelöst [mg/l] (-7.0 m ü. Grund)";"Ni gelöst [mg/l] (-7.0 m ü. Grund)";"Y gelöst [mg/l] (-7.0 m ü. Grund)";"U gelöst [µg/l] (-7.0 m ü. Grund)";"Nb gelöst [mg/l] (-7.0 m ü. Grund)";"Rb gelöst [mg/l] (-7.0 m ü. Grund)";"Bi gelöst [mg/l] (-7.0 m ü. Grund)";"Co gelöst [mg/l] (-7.0 m ü. Grund)";"Ce gelöst [mg/l] (-7.0 m ü. Grund)";"Al gelöst [mg/l] (-7.0 m ü. Grund)";"Mo gelöst [mg/l] (-7.0 m ü. Grund)";"Tl gelöst [mg/l] (-7.0 m ü. Grund)";"Hg-ges. gelöst [mg/l] (-7.0 m ü. Grund)";"Fe gelöst [mg/l] (-7.0 m ü. Grund)";"Te gelöst [mg/l] (-7.0 m ü. Grund)";"Se gelöst [mg/l] (-7.0 m ü. Grund)";"Sb gelöst [mg/l] (-7.0 m ü. Grund)";"SO4 [mg/l] (-7.0 m ü. Grund)";"Chlorid [mg/l] (-7.0 m ü. Grund)";"Cr-ges. gelöst [mg/l] (-7.0 m ü. Grund)";"Ca gelöst [mg/l] (-7.0 m ü. Grund)";"Mg gelöst [mg/l] (-7.0 m ü. Grund)";"Tritosulfuron [µg/l] (-7.0 m ü. Grund)";"Cs gelöst [mg/l] (-7.0 m ü. Grund)";"La gelöst [mg/l] (-7.0 m ü. Grund)";"Th gelöst [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"TOC [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Chloroph [µg/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"TOC [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"TOC [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"Chloroph [µg/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"P-ges. gelöst [mg/l] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"TOC [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"Chloroph [µg/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"P-ges. gelöst [mg/l] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"O2-Sättigungsindex [%] (4.0 m Tiefe)";"NO3-N [mg/l] (6.0 m Tiefe)";"TOC [mg/l] (6.0 m Tiefe)";"SiO2 [mg/l] (6.0 m Tiefe)";"P-ges. [mg/l] (6.0 m Tiefe)";"O2-gelöst [mg/l] (6.0 m Tiefe)";"KB 8,2 [mmol/l] (6.0 m Tiefe)";"NH4-N [mg/l] (6.0 m Tiefe)";"pH-Wert (vor Ort) [-] (6.0 m Tiefe)";"o-PO4-P [mg/l] (6.0 m Tiefe)";"KS 4,3 [mmol/l] (6.0 m Tiefe)";"Chloroph [µg/l] (6.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (6.0 m Tiefe)";"SPAK 254 nm [1/m] (6.0 m Tiefe)";"N-ges. [mg/l] (6.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (6.0 m Tiefe)";"P-ges. gelöst [mg/l] (6.0 m Tiefe)";"SO4 [mg/l] (6.0 m Tiefe)";"Chlorid [mg/l] (6.0 m Tiefe)";"O2-Sättigungsindex [%] (6.0 m Tiefe)";"NO3-N [mg/l] (8.0 m Tiefe)";"TOC [mg/l] (8.0 m Tiefe)";"SiO2 [mg/l] (8.0 m Tiefe)";"P-ges. [mg/l] (8.0 m Tiefe)";"O2-gelöst [mg/l] (8.0 m Tiefe)";"KB 8,2 [mmol/l] (8.0 m Tiefe)";"NH4-N [mg/l] (8.0 m Tiefe)";"pH-Wert (vor Ort) [-] (8.0 m Tiefe)";"o-PO4-P [mg/l] (8.0 m Tiefe)";"KS 4,3 [mmol/l] (8.0 m Tiefe)";"Chloroph [µg/l] (8.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (8.0 m Tiefe)";"SPAK 254 nm [1/m] (8.0 m Tiefe)";"N-ges. [mg/l] (8.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (8.0 m Tiefe)";"P-ges. gelöst [mg/l] (8.0 m Tiefe)";"SO4 [mg/l] (8.0 m Tiefe)";"Chlorid [mg/l] (8.0 m Tiefe)";"O2-Sättigungsindex [%] (8.0 m Tiefe)";Prüfstatus
"2005-05-30 00:00:00";1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;2,1;1,1;0,006;11,8;0;0,05;7,7;0;3,45;6,00;8,8;2,1;0,4;330,00;0;14,00;7,00;;;;;;;;0,4;2,6;0,3;0;8,8;0;0,02;840,00;7,9;0;2,96;0;22,2;4,1;0,6;288,00;0;13,00;5,00;;0,5;2,4;0,3;0;9,7;0;0,02;7,8;0;2,87;1,00;18,2;3,9;0,5;282,00;0;14,00;0;;0,4;2,4;0,6;0;10,4;0;0,02;7,8;0;2,94;2,00;12,8;3,8;0,6;287,00;0;14,00;0;;0,3;1,8;0,9;0;11,5;0;0,04;7,7;0;3,34;1,00;10,3;2,3;0,5;320,00;0;14,00;7,00;;0,3;2,00;1,00;0;11,00;0;0,05;7,7;0;3,41;2,00;9,00;2,1;0,4;330,00;0;14,00;7,00;;Geprueft
"2005-06-20 00:00:00";1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;2,3;0,6;0,005;12,9;0;0,04;7,9;0;3,35;1,00;11,1;3,5;0,4;330,00;0;14,00;7,00;;;;;;;;0,34;2,6;0,5;0;9,9;0;0,03;900,00;8,00;0;2,93;1,00;19,00;4,5;0,5;293,00;0;18,00;0;;0,4;2,8;0,5;0;10,8;0;0,02;8,00;0;2,94;1,00;16,9;4,5;0,5;292,00;0;17,00;0;;0,4;2,4;0,5;0;11,1;0;0,02;7,9;0;3,01;1,00;15,5;4,4;0,5;300,00;0;17,00;5,00;;0,2;2,3;0,5;0;13,1;0;0,03;7,9;0;3,3;1,00;12,2;3,7;0,4;320,00;0;14,00;7,00;;0,2;2,5;0,6;0;13,1;0;0,03;7,9;0;3,36;1,00;11,1;3,5;0,4;320,00;0;14,00;7,00;;Geprueft
"2005-07-11 00:00:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;3,6;1,1;0,008;9,6;0;0,03;8,1;0;2,92;1,00;12,3;8,9;0,5;271,00;0;7,7;0;;;;;;;;0,3;2,8;0,7;0;9,6;0;0,03;420,00;8,3;0;2,73;1,00;16,7;4,8;0,5;267,00;0;14,00;0;;0,3;3,4;0,7;0,005;10,2;0;0,03;8,2;0;2,86;2,00;15,6;5,5;0,5;276,00;0;13,00;0;;0,3;3,3;0,6;0,007;12,3;0;0,02;8,1;0;3,07;2,00;14,1;5,5;0,5;293,00;0;13,00;0;;0,2;3,3;0,5;0,008;12,00;0;0,02;8,1;0;3,06;3,00;13,1;6,7;0,5;288,00;0;11,00;0;;0,3;3,6;0,7;0,008;10,3;0;0,02;8,1;0;2,93;2,00;12,5;8,4;0,5;274,00;0;9,1;0;;Geprueft
"2005-07-13 00:00:00";4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;3,6;1,1;0,008;9,6;0;0,03;8,1;0;2,92;1,00;12,3;8,9;0,5;271,00;0;8,00;0;;;;;;;;0,25;2,8;0,7;0;9,6;0;0,03;420,00;8,3;0;2,73;1,00;16,7;4,8;0,5;267,00;0;14,00;0;;0,3;3,4;0,7;0,005;10,2;0;0,03;8,2;0;2,86;2,00;15,6;5,5;0,5;276,00;0;13,00;0;;0,3;3,3;0,6;0,007;12,3;0;0,02;8,1;0;3,07;2,00;14,1;5,5;0,5;293,00;0;13,00;0;;0,2;3,3;0,5;0,008;12,00;0;0,02;8,1;0;3,06;3,00;13,1;6,7;0,5;288,00;0;11,00;0;;0,3;3,6;0,7;0,008;10,3;0;0,02;8,1;0;2,93;2,00;12,5;8,4;0,5;274,00;0;9,00;0;;Geprueft
"2005-08-16 00:00:00";3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;4,1;0,8;0,006;8,8;0;0,04;8,1;0;2,98;2,00;12,4;9,4;0,7;271,00;0;8,8;0;;;;;;;;0,2;3,9;0,7;0;10,00;0;0,02;410,00;8,3;0;3,05;2,00;14,9;6,5;0,6;281,00;0;14,00;0;;0,2;3,1;0,7;0;9,9;0;0,02;8,2;0;2,99;2,00;14,5;6,9;0,6;280,00;0;13,00;0;;0,2;3,6;1,00;0,005;8,4;0;0,02;8,00;0;3,09;3,00;13,6;8,00;0,6;285,00;0;11,00;0;;0,2;3,4;1,00;0,007;8,3;0;0,03;8,00;0;3,02;3,00;12,8;8,7;0,6;279,00;0;10,00;0;;0,2;3,8;0,9;0,006;8,9;0;0,03;8,1;0;3,01;3,00;12,4;9,7;0,6;271,00;0;8,9;0;;Geprueft
"2005-08-18 00:00:00";3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;4,1;0,8;0,006;8,8;0;0,04;8,1;0;2,98;2,00;12,4;9,4;0,7;271,00;0;9,00;0;;;;;;;;0,21;3,9;0,7;0;10,00;0;0,02;410,00;8,3;0;3,05;2,00;14,9;6,5;0,6;281,00;0;14,00;0;;0,2;3,1;0,7;0;9,9;0;0,02;8,2;0;2,99;2,00;14,5;6,9;0,6;280,00;0;13,00;0;;0,2;3,6;1,00;0,005;8,4;0;0,02;8,00;0;3,09;3,00;13,6;8,00;0,6;285,00;0;11,00;0;;0,2;3,4;1,00;0,007;8,3;0;0,03;8,00;0;3,02;3,00;12,8;8,7;0,6;279,00;0;10,00;0;;0,2;3,8;0,9;0,006;8,9;0;0,03;8,1;0;3,01;3,00;12,4;9,7;0,6;271,00;0;9,00;0;;Geprueft
"2005-09-19 00:00:00";3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;3,9;2,1;0,006;4,00;0,09;0,13;7,9;0;3,16;3,00;12,3;9,4;0,5;287,00;0;9,00;0;;;;;;;;0,3;2,9;0,6;0;9,8;0;0,02;680,00;8,2;0;3,13;2,00;16,5;6,5;0,3;299,00;0;16,00;0;;0,3;3,00;0,6;0;9,6;0;0,01;8,2;0;3,13;3,00;14,8;6,4;0,3;298,00;0;16,00;0;;0,3;3,4;0,7;0;9,00;0;0,02;8,1;0;3,09;3,00;13,9;8,4;0,3;286,00;0;11,00;0;;0,3;3,8;1,1;0;6,9;0;0,06;8,00;0;3,13;4,00;13,2;8,9;0,3;285,00;0;10,00;0;;0,2;3,8;1,6;0;5,5;0,07;0,09;7,9;0;3,13;3,00;12,8;9,2;0,3;286,00;0;9,3;0;;Geprueft
"2005-10-17 00:00:00";2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;3,3;1,1;0;9,5;0;0,05;8,1;0;3,11;2,00;12,00;5,6;0,5;298,00;0;17,00;0;;;;;;;;0,22;3,00;1,1;0;9,1;0;0,04;900,00;8,2;0;3,1;2,00;11,7;5,6;0,4;297,00;0;17,00;0;;0,3;3,2;1,1;0;9,2;0;0,04;8,2;0;3,1;2,00;11,9;5,5;0,4;297,00;0;17,00;0;;0,3;2,7;1,1;0;9,1;0;0,04;8,2;0;3,1;2,00;11,8;5,5;0,4;297,00;0;17,00;0;;0,3;3,00;1,1;0;9,5;0;0,04;8,1;0;3,1;2,00;11,7;5,5;0,4;298,00;0;17,00;0;;0,3;3,00;1,1;0;9,5;0;0,04;8,1;0;3,11;2,00;11,8;5,5;0,4;298,00;0;17,00;0;;Geprueft
"2005-11-15 00:00:00";2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;2,8;0,8;0;9,9;0;0,04;7,3;0;3,07;1,00;8,00;4,4;0,5;390,00;0;19,00;0;;;;;;;;0,27;2,9;0,8;0,008;9,8;0;0,04;900,00;8,1;0;3,3;2,00;7,7;4,5;0,5;310,00;0;19,00;0;;0,3;2,9;0,8;0;9,8;0;0,04;8,3;0;3,08;2,00;8,1;4,4;0,5;300,00;0;19,00;0;;0,3;3,6;0,7;0,008;9,1;0;0,04;8,2;0;3,2;2,00;8,00;4,4;0,5;300,00;0;19,00;0;;0,3;2,9;0,8;0;9,8;0;0,04;8,2;0;3,07;2,00;8,00;4,4;0,5;300,00;0;19,00;0;;0,3;2,8;0,8;0;8,9;0;0,04;7,9;0;3,06;2,00;8,00;4,4;0,5;370,00;0;19,00;0;;Geprueft
"2011-05-09 00:00:00";2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geprueft
