Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Tiefste Stelle"
Messstellen-Nr.:;2202
Gewässer:;Knappensee
"Rechtswert:  4512983.00";"Hochwert:  5461772.00";"EPSG 31468"

Datum;"Chloroph [µg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-7.0 m ü. Grund)";"SiO2 [mg/l] (-7.0 m ü. Grund)";"P-ges. [mg/l] (-7.0 m ü. Grund)";"O2-gelöst [mg/l] (-7.0 m ü. Grund)";"NH4-N [mg/l] (-7.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-7.0 m ü. Grund)";"o-PO4-P [mg/l] (-7.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-7.0 m ü. Grund)";"N-ges. [mg/l] (-7.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-7.0 m ü. Grund)";"Zn gelöst [mg/l] (-7.0 m ü. Grund)";"Pb gelöst [mg/l] (-7.0 m ü. Grund)";"As gelöst [mg/l] (-7.0 m ü. Grund)";"Cd gelöst [mg/l] (-7.0 m ü. Grund)";"K gelöst [mg/l] (-7.0 m ü. Grund)";"V gelöst [mg/l] (-7.0 m ü. Grund)";"Mn gelöst [mg/l] (-7.0 m ü. Grund)";"Ni gelöst [mg/l] (-7.0 m ü. Grund)";"Al gelöst [mg/l] (-7.0 m ü. Grund)";"Mo gelöst [mg/l] (-7.0 m ü. Grund)";"Hg-ges. gelöst [mg/l] (-7.0 m ü. Grund)";"Fe gelöst [mg/l] (-7.0 m ü. Grund)";"Sb gelöst [mg/l] (-7.0 m ü. Grund)";"SO4 [mg/l] (-7.0 m ü. Grund)";"Chlorid [mg/l] (-7.0 m ü. Grund)";"Cr-ges. gelöst [mg/l] (-7.0 m ü. Grund)";"Na gelöst [mg/l] (-7.0 m ü. Grund)";"Ca gelöst [mg/l] (-7.0 m ü. Grund)";"Mg gelöst [mg/l] (-7.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"TOC [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"KB 8,2 [mmol/l] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"KS 4,3 [mmol/l] (-1.0 m ü. Grund)";"Chloroph [µg/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"SO4 [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"Na gelöst [mg/l] (-1.0 m ü. Grund)";"K gelöst [mg/l] (-1.0 m ü. Grund)";"Mn gelöst [mg/l] (-1.0 m ü. Grund)";"Fe gelöst [mg/l] (-1.0 m ü. Grund)";"Ca gelöst [mg/l] (-1.0 m ü. Grund)";"Mg gelöst [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"TOC [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"Sichttiefe [cm] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"NO3-N [mg/l] (2.0 m Tiefe)";"TOC [mg/l] (2.0 m Tiefe)";"SiO2 [mg/l] (2.0 m Tiefe)";"P-ges. [mg/l] (2.0 m Tiefe)";"O2-gelöst [mg/l] (2.0 m Tiefe)";"KB 8,2 [mmol/l] (2.0 m Tiefe)";"NH4-N [mg/l] (2.0 m Tiefe)";"pH-Wert (vor Ort) [-] (2.0 m Tiefe)";"o-PO4-P [mg/l] (2.0 m Tiefe)";"Chloroph [µg/l] (2.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (2.0 m Tiefe)";"SPAK 254 nm [1/m] (2.0 m Tiefe)";"N-ges. [mg/l] (2.0 m Tiefe)";"O2-Sättigungsindex [%] (2.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (2.0 m Tiefe)";"SO4 [mg/l] (2.0 m Tiefe)";"Chlorid [mg/l] (2.0 m Tiefe)";"Na gelöst [mg/l] (2.0 m Tiefe)";"K gelöst [mg/l] (2.0 m Tiefe)";"Mn gelöst [mg/l] (2.0 m Tiefe)";"Fe gelöst [mg/l] (2.0 m Tiefe)";"Ca gelöst [mg/l] (2.0 m Tiefe)";"Mg gelöst [mg/l] (2.0 m Tiefe)";"KS 4,3 [mmol/l] (2.0 m Tiefe)";"NO3-N [mg/l] (4.0 m Tiefe)";"TOC [mg/l] (4.0 m Tiefe)";"SiO2 [mg/l] (4.0 m Tiefe)";"P-ges. [mg/l] (4.0 m Tiefe)";"O2-gelöst [mg/l] (4.0 m Tiefe)";"KB 8,2 [mmol/l] (4.0 m Tiefe)";"NH4-N [mg/l] (4.0 m Tiefe)";"pH-Wert (vor Ort) [-] (4.0 m Tiefe)";"o-PO4-P [mg/l] (4.0 m Tiefe)";"Chloroph [µg/l] (4.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (4.0 m Tiefe)";"SPAK 254 nm [1/m] (4.0 m Tiefe)";"N-ges. [mg/l] (4.0 m Tiefe)";"O2-Sättigungsindex [%] (4.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (4.0 m Tiefe)";"SO4 [mg/l] (4.0 m Tiefe)";"Chlorid [mg/l] (4.0 m Tiefe)";"Na gelöst [mg/l] (4.0 m Tiefe)";"K gelöst [mg/l] (4.0 m Tiefe)";"Mn gelöst [mg/l] (4.0 m Tiefe)";"Fe gelöst [mg/l] (4.0 m Tiefe)";"Ca gelöst [mg/l] (4.0 m Tiefe)";"Mg gelöst [mg/l] (4.0 m Tiefe)";"KS 4,3 [mmol/l] (4.0 m Tiefe)";"NO3-N [mg/l] (6.0 m Tiefe)";"TOC [mg/l] (6.0 m Tiefe)";"SiO2 [mg/l] (6.0 m Tiefe)";"P-ges. [mg/l] (6.0 m Tiefe)";"O2-gelöst [mg/l] (6.0 m Tiefe)";"KB 8,2 [mmol/l] (6.0 m Tiefe)";"NH4-N [mg/l] (6.0 m Tiefe)";"pH-Wert (vor Ort) [-] (6.0 m Tiefe)";"o-PO4-P [mg/l] (6.0 m Tiefe)";"Chloroph [µg/l] (6.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (6.0 m Tiefe)";"SPAK 254 nm [1/m] (6.0 m Tiefe)";"N-ges. [mg/l] (6.0 m Tiefe)";"O2-Sättigungsindex [%] (6.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (6.0 m Tiefe)";"SO4 [mg/l] (6.0 m Tiefe)";"Chlorid [mg/l] (6.0 m Tiefe)";"Na gelöst [mg/l] (6.0 m Tiefe)";"K gelöst [mg/l] (6.0 m Tiefe)";"Mn gelöst [mg/l] (6.0 m Tiefe)";"Fe gelöst [mg/l] (6.0 m Tiefe)";"Ca gelöst [mg/l] (6.0 m Tiefe)";"Mg gelöst [mg/l] (6.0 m Tiefe)";"KS 4,3 [mmol/l] (6.0 m Tiefe)";Prüfstatus
"2006-04-11 00:00:00";4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;2,00;15,00;0;1,3;1,51;1,4;5,6;0;0,21;4,00;6,1;1,9;1,6;12,00;2350,00;1300,00;110,00;;;;;;;0,3;1,00;14,00;0;12,2;0,31;0,59;170,00;3,9;0;3,00;8,4;1,1;1,00;106,00;1736,00;950,00;80,00;;;;;;;;0,3;1,5;14,00;0;12,3;0,31;0,58;3,9;0;2,00;8,4;0,6;1,00;107,00;1736,00;950,00;80,00;;;;;;;;0,3;1,3;14,00;0;17,4;0,32;0,6;3,8;0;2,00;7,2;1,1;1,00;147,00;2170,00;975,00;81,00;;;;;;;;0,2;1,2;16,00;0;8,3;0,89;0,92;4,00;0;5,00;6,00;2,4;1,3;67,00;2280,00;1250,00;101,00;;;;;;;;Geprueft
"2006-05-08 00:00:00";1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3;;16,00;0;0,7;;1,3;5,7;0;;1,00;6,8;;1,5;6,00;2330,00;1310,00;113,00;;;;;;;0,5;;15,00;0,005;9,8;;0,54;320,00;3,9;0;1,00;16,4;;0,9;102,00;1684,00;980,00;80,00;;;;;;;;0,5;;14,00;0,005;9,9;;0,55;3,9;0;0;16,3;;0,9;103,00;1685,00;960,00;80,00;;;;;;;;0,4;;15,00;0;15,8;;0,55;3,9;0;1,00;12,1;;0,9;155,00;2080,00;1000,00;82,00;;;;;;;;0,4;;15,00;0;7,8;;0,65;3,9;0;1,00;7,4;;0,9;63,00;2270,00;1055,00;85,00;;;;;;;;Geprueft
"2006-06-27 00:00:00";1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,4;;14,00;0;2,9;;0,81;5,3;0;;1,00;10,6;;1,2;25,00;2260,00;1160,00;99,00;;;;;;;0,5;;12,00;0;8,3;;0,65;;4,00;0;2,00;25,9;;1,00;104,00;1723,00;1030,00;83,00;;;;;;;;0,6;;13,00;0;8,4;;0,66;4,00;0;2,00;25,9;;1,00;104,00;1724,00;1040,00;86,00;;;;;;;;0,6;;13,00;0;11,3;;0,65;3,9;0;3,00;20,7;;1,00;129,00;1708,00;1090,00;84,00;;;;;;;;0,6;;13,00;0;13,00;;0,63;3,9;0;2,00;15,9;;0,9;134,00;2220,00;1070,00;89,00;;;;;;;;Geprueft
"2006-07-26 00:00:00";2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;15,00;0;0,7;;1,00;5,8;0;;3,00;11,9;;1,3;7,00;2270,00;1200,00;98,00;;;;;;;0,2;;16,00;0;7,7;;0,83;300,00;4,1;0;2,00;27,4;;1,1;98,00;1750,00;1080,00;89,00;;;;;;;;0,2;;16,00;0;7,6;;0,81;4,1;0;2,00;27,3;;1,1;98,00;1750,00;1040,00;89,00;;;;;;;;0,2;;16,00;0;8,00;;0,82;4,00;0;2,00;24,9;;1,2;98,00;1729,00;1090,00;89,00;;;;;;;;0,2;;16,00;0;9,3;;0,81;3,9;0;2,00;16,6;;1,2;97,00;2170,00;1100,00;92,00;;;;;;;;Geprueft
"2006-08-29 00:00:00";4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;16,00;0;0,4;;1,1;6,2;0;;2,00;12,7;;1,4;3,00;2260,00;1060,00;89,00;;;;;;;0,1;;16,00;0;8,8;;0,99;450,00;4,2;0;2,00;18,3;;1,2;96,00;1752,00;1060,00;87,00;;;;;;;;0,1;;16,00;0;8,7;;1,00;4,2;0;2,00;18,3;;1,2;95,00;1750,00;1070,00;87,00;;;;;;;;0,1;;16,00;0;8,7;;1,00;4,2;0;2,00;18,3;;1,2;95,00;1749,00;1030,00;88,00;;;;;;;;0,1;;16,00;0;8,4;;1,00;4,2;0;2,00;18,1;;1,2;91,00;1791,00;1030,00;88,00;;;;;;;;Geprueft
"2006-09-19 00:00:00";3,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;16,00;0;1,1;;1,06;5,9;0;;3,00;14,1;;0,9;3,00;2220,00;1080,00;89,00;;;;;;;0,1;;16,00;0;9,1;;0,99;330,00;4,2;0;2,00;20,2;;1,1;102,00;1768,00;1080,00;89,00;;;;;;;;0,1;;16,00;0;9,00;;0,99;4,2;0;2,00;20,2;;1,3;102,00;1768,00;1070,00;88,00;;;;;;;;0,1;;16,00;0;9,00;;0,99;4,2;0;2,00;20,2;;1,3;102,00;1768,00;1050,00;86,00;;;;;;;;0,1;;16,00;0;9,00;;0,99;4,2;0;3,00;19,1;;0,9;101,00;1760,00;1040,00;85,00;;;;;;;;Geprueft
"2006-10-18 00:00:00";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;16,00;0;9,8;;1,01;4,3;0;;0;13,5;;1,2;96,00;1830,00;1100,00;100,00;;;;;;;0,1;;15,00;0;10,00;;1,00;400,00;4,3;0;2,4;13,6;;0,9;98,00;1830,00;1100,00;95,00;;;;;;;;0,1;;15,00;0;9,9;;1,01;4,3;0;1,2;13,6;;1,1;98,00;1830,00;1100,00;95,00;;;;;;;;0;;15,00;0;9,8;;1,01;4,3;0;1,5;13,6;;1,1;97,00;1830,00;1100,00;94,00;;;;;;;;0,1;;16,00;0;9,8;;1,01;4,3;0;1,2;13,6;;1,2;96,00;1830,00;1100,00;95,00;;;;;;;;Geprueft
"2006-11-13 00:00:00";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;16,00;0;13,1;;1,00;4,1;0;;0;7,2;;1,1;110,00;1990,00;1100,00;95,00;;;;;;;0,1;;15,00;0;12,00;;1,00;580,00;4,1;0;0;7,2;;1,1;102,00;1990,00;1100,00;94,00;;;;;;;;0,1;;15,00;0;13,00;;1,00;4,1;0;0;7,2;;1,2;110,00;1990,00;1100,00;94,00;;;;;;;;0,1;;15,00;0;13,4;;1,00;4,1;0;0;7,2;;1,1;113,00;1990,00;1100,00;95,00;;;;;;;;0,1;;16,00;0;12,9;;1,00;4,1;0;0;7,2;;1,1;109,00;1990,00;1100,00;95,00;;;;;;;;Geprueft
"2006-12-13 00:00:00";0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;17,00;0;11,8;;0,98;4,2;0;;0;5,2;;0,9;97,00;1990,00;1100,00;95,00;;;;;;;0,1;;16,00;0,007;11,8;;0,98;890,00;4,3;0;0;5,3;;1,00;97,00;1980,00;1100,00;95,00;;;;;;;;0,1;;16,00;0;11,8;;0,98;4,3;0;0;5,3;;1,00;97,00;1990,00;1100,00;95,00;;;;;;;;0,1;;17,00;0;11,8;;0,98;4,3;0;0;5,3;;1,00;97,00;1990,00;1100,00;94,00;;;;;;;;0,1;;17,00;0;11,8;;0,98;4,2;0;0;5,2;;0,9;97,00;1990,00;1100,00;95,00;;;;;;;;Geprueft
"2010-04-19 11:30:00";4,00;0,3;7,6;0;7,5;0,44;5,9;0;12,7;0,9;1920,00;0,01;0;0,001;0;38,00;0;2,1;0,005;0;0;0;0,079;0;1000,00;130,00;0,001;;;;0,17;;9,3;0;3,2;;0,93;6,00;0;;7,00;9,5;;1,3;;2230,00;1100,00;160,00;71,00;32,00;1,7;0,11;332,00;42,5;0,41;;5,9;0;12,00;;0,18;280,00;6,4;0;1,00;15,5;;0,6;;1650,00;860,00;110,00;59,00;27,00;1,1;0,018;283,00;36,9;;0,41;;5,9;0;11,7;;0,17;6,4;0;2,00;14,00;;0,7;;1650,00;850,00;110,00;59,00;27,00;1,1;0,022;282,00;35,9;;0,3;;7,6;0;9,4;;0,37;5,9;0;2,00;11,9;;0,8;;1890,00;980,00;120,00;67,00;32,00;1,5;0,047;327,00;42,2;;0,22;;9,00;0;4,8;;0,72;5,9;0;3,00;9,9;;1,1;;2090,00;1100,00;150,00;78,00;35,00;2,1;0,23;364,00;45,4;;Geprueft
