Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"05.02.2019 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Mitte Damm"
Messstellen-Nr.:;2211
Gewässer:;"Grosser Brombachsee"
"Rechtswert:  4423940.00";"Hochwert:  5443770.00";"EPSG 31468"

Datum;"SPAK 254 nm [1/m] (-1.0 m ü. Grund)";"N-ges. [mg/l] (-1.0 m ü. Grund)";"O2-Sättigungsindex [%] (-1.0 m ü. Grund)";"LF (20 °C) vor Ort [µS/cm] (-1.0 m ü. Grund)";"P-ges. gelöst [mg/l] (-1.0 m ü. Grund)";"Chlorid [mg/l] (-1.0 m ü. Grund)";"Wassertemp.(vor Ort) [°C] (-1.0 m ü. Grund)";"Chloroph [µg/l] (-1.0 m ü. Grund)";"pH-Wert (vor Ort) [-] (-1.0 m ü. Grund)";"NH4-N [mg/l] (-1.0 m ü. Grund)";"O2-gelöst [mg/l] (-1.0 m ü. Grund)";"P-ges. [mg/l] (-1.0 m ü. Grund)";"SiO2 [mg/l] (-1.0 m ü. Grund)";"TOC [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (-1.0 m ü. Grund)";"o-PO4-P [mg/l] (-1.0 m ü. Grund)";"NO3-N [mg/l] (0.0 m Tiefe)";"Chlorid [mg/l] (0.0 m Tiefe)";"P-ges. gelöst [mg/l] (0.0 m Tiefe)";"N-ges. [mg/l] (0.0 m Tiefe)";"Chloroph [µg/l] (0.0 m Tiefe)";"o-PO4-P [mg/l] (0.0 m Tiefe)";"NH4-N [mg/l] (0.0 m Tiefe)";"P-ges. [mg/l] (0.0 m Tiefe)";"SiO2 [mg/l] (0.0 m Tiefe)";"TOC [mg/l] (0.0 m Tiefe)";"Wassertemp.(vor Ort) [°C] (0.0 m Tiefe)";"SPAK 254 nm [1/m] (0.0 m Tiefe)";"O2-Sättigungsindex [%] (0.0 m Tiefe)";"LF (20 °C) vor Ort [µS/cm] (0.0 m Tiefe)";"O2-gelöst [mg/l] (0.0 m Tiefe)";"pH-Wert (vor Ort) [-] (0.0 m Tiefe)";"SO4 [mg/l] (0.0 m Tiefe)";"KS 4,3 [mmol/l] (0.0 m Tiefe)";"KB 8,2 [mmol/l] (0.0 m Tiefe)";"Na gelöst [mg/l] (0.0 m Tiefe)";"K gelöst [mg/l] (0.0 m Tiefe)";"Mn gelöst [mg/l] (0.0 m Tiefe)";"Fe gelöst [mg/l] (0.0 m Tiefe)";"Ca gelöst [mg/l] (0.0 m Tiefe)";"Mg gelöst [mg/l] (0.0 m Tiefe)";Prüfstatus
"2004-01-19 11:00:00";;;;;;;;;;;;;;;;;0,3;20,00;0,018;0,6;2,00;0,013;0;0,027;0,7;6,4;;;;;;;;;;;;;;;;Geprueft
"2004-02-02 00:00:00";;;;;;;;;;;;;;;;;0,3;20,00;0,013;0,8;4,00;0,009;0,02;0,023;0,7;6,4;1,7;11,00;105,00;290,00;15,00;8,3;;;;;;;;;;Geprueft
"2004-02-16 00:00:00";;;;;;;;;;;;;;;;;0,5;20,00;0,013;0,9;5,00;0,009;0;0,026;0,7;6,5;4,00;12,00;107,00;320,00;14,2;8,6;;;;;;;;;;Geprueft
"2004-03-01 00:00:00";;;;;;;;;;;;;;;;;0,6;22,00;;1,2;0;0,008;0;0,023;0,4;7,00;1,6;;113,00;340,00;15,7;8,4;;;;;;;;;;Geprueft
"2004-03-15 00:00:00";;;;;;;;;;;;;;;;;0,5;20,00;0,007;0,9;0;0;0,02;0,016;0,1;6,00;3,00;11,00;102,00;310,00;13,3;8,7;;;;;;;;;;Geprueft
"2004-11-22 00:00:00";;;;;;;;;;;;;;;;;0,3;22,00;0,014;0,9;3,00;0,008;0,03;0,035;0,7;6,8;7,7;;88,00;330,00;9,9;8,2;;;;;;;;;;Geprueft
"2004-12-06 11:45:00";9,5;0,8;82,00;320,00;0,025;21,00;7,3;2,00;8,2;0;9,6;0,014;0,7;6,3;0,3;0,009;0,3;21,00;0,014;0,8;2,00;0,009;0;0,025;0,7;6,3;7,3;9,5;82,00;320,00;9,6;8,2;;;;;;;;;;Geprueft
"2004-12-13 00:00:00";;;;;;;;;;;;;;;;;0,4;21,00;0,014;0,7;1,00;0,01;0;0,024;0,8;6,3;5,2;9,7;83,00;320,00;10,1;8,1;;;;;;;;;;Geprueft
"2005-01-11 00:00:00";10,00;0,9;93,00;330,00;0,02;21,00;4,7;2,00;8,3;0;11,00;0,012;0,7;6,3;0,3;0,01;0,3;21,00;0,012;0,9;2,00;0,01;0;0,02;0,7;6,3;4,7;10,00;93,00;330,00;11,3;8,3;;;;;;;;;;Geprueft
"2005-02-15 00:00:00";;;;;;;;;;;;;;;;;0,4;21,00;0,009;0,9;4,00;0,007;0;0,024;0,2;6,00;2,4;8,6;97,00;330,00;12,5;8,4;;;;;;;;;;Geprueft
"2005-03-07 00:00:00";10,00;0,9;100,00;350,00;0,01;23,00;1,3;9,00;8,4;0,03;13,00;0,019;0;6,1;0,4;0;0,4;23,00;0,01;0,9;9,00;0;0,03;0,019;0;6,1;1,3;10,00;101,00;350,00;13,7;8,4;;;;;;;;;;Geprueft
